[2025-12-21 14:11:09.903] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.914] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.926] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.936] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.949] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.959] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.970] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.981] [trace] [:] Rendering triangle.
[2025-12-21 14:11:09.992] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.003] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.014] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.025] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.036] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.047] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.059] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.070] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.081] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.092] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.103] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.114] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.125] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.136] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.147] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.159] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.170] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.181] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.192] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.203] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.214] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.225] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.236] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.248] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.258] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.271] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.281] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.292] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.303] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.314] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.325] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.336] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.347] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.359] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.370] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.381] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.392] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.403] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.414] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.425] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.436] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.447] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.458] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.469] [trace] [:] Rendering triangle.
[2025-12-21 14:11:10.668] [info] [:] GLFW window resized to 805x800
[2025-12-21 14:11:10.677] [info] [:] GLFW window resized to 825x800
[2025-12-21 14:11:10.683] [info] [:] GLFW window resized to 855x800
[2025-12-21 14:11:10.689] [info] [:] GLFW window resized to 884x800
[2025-12-21 14:11:10.695] [info] [:] GLFW window resized to 898x804
[2025-12-21 14:11:10.701] [info] [:] GLFW window resized to 917x809
